NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
38;2019;3;48;1;1;1;04;1;2;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;145.2441
38;2019;3;48;1;6;1;12;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;2;198.3198
39;2019;3;01;2;1;1;09;1;1;N;N;4;1;1;2;N;;;;;;;1;02;7;03;4;2;5;40;1;191.1202
40;2019;3;48;1;6;2;11;1;2;N;N;4;1;;;S;6;2;S;03;0;S;2;05;9;08;4;2;;;1;274.0615
41;2019;3;01;9;1;2;16;1;1;N;N;2;2;;;N;;;;;;;4;07;7;02;4;2;;;1;58.4895
41;2019;3;01;9;6;1;15;1;1;N;N;4;1;;;N;;;;;;;4;04;5;09;4;1;;;2;55.2287
42;2019;3;20;9;1;1;06;1;2;N;N;4;2;1;2;N;;;;;;;1;02;2;04;4;2;5;40;3;175.6321
42;2019;3;20;9;1;2;13;1;2;N;N;4;2;2;5;N;;;;;;;1;02;7;02;4;2;5;0;1;121.8178
42;2019;3;20;9;6;2;13;1;2;N;N;4;1;2;2;N;;;;;;;1;03;5;04;4;2;5;12;2;151.7071
43;2019;3;01;9;1;1;11;1;2;N;N;4;1;1;3;N;;;;;;;1;02;7;02;4;2;1;0;1;29.351
43;2019;3;01;9;6;1;10;1;3;N;N;4;1;1;2;N;;;;;;;1;02;3;09;4;1;1;40;2;28.6935
43;2019;3;01;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;27.2697
43;2019;3;01;9;1;1;04;1;1;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;27.8955
44;2019;3;20;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;172.1262
44;2019;3;20;9;1;1;09;1;3;N;N;4;1;1;2;N;;;;;;;1;02;1;04;4;2;1;40;1;182.4404
44;2019;3;20;9;6;1;09;1;3;N;N;4;2;1;2;N;;;;;;;1;02;2;08;2;;;40;2;195.3539
44;2019;3;20;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;172.1262
45;2019;3;20;9;6;3;16;1;2;N;N;4;1;;;N;;;;;;;4;04;;;;;;;2;245.3232
45;2019;3;20;9;1;1;09;1;1;N;N;4;2;1;2;N;;;;;;;1;02;9;02;4;2;4;35;4;174.9045
45;2019;3;20;9;6;1;10;1;1;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;2;1;40;3;155.9596
45;2019;3;20;9;1;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;4;176.9719
45;2019;3;20;9;1;3;16;1;2;N;N;2;3;;;N;;;;;;;4;07;3;01;2;;;;1;232.2844
46;2019;3;20;9;6;1;07;1;2;N;N;4;2;1;2;N;;;;;;;1;02;7;02;5;;;40;3;203.928
46;2019;3;20;9;6;1;13;1;2;N;N;4;1;1;2;N;;;;;;;1;01;7;02;2;;;50;1;138.3567
47;2019;3;01;2;1;2;14;1;1;N;N;2;1;;;N;;;;;;;4;04;7;03;2;;;;2;133.5241
47;2019;3;01;2;6;2;14;1;1;N;N;4;1;;;N;;;;;;;4;04;9;02;4;2;;;1;126.0801
48;2019;3;20;9;6;2;14;1;1;N;N;2;1;;;N;;;;;;;4;04;3;02;4;2;;;1;133.3597
49;2019;3;48;9;6;3;10;2;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;207.8488
49;2019;3;48;9;1;3;10;2;2;N;N;4;1;;;S;6;2;S;03;3;S;2;05;7;03;2;;;;2;279.3033
49;2019;3;48;9;6;1;01;2;;N;;;;;;;;;;;;;;;;;;;;;4;340.5327
49;2019;3;48;9;6;3;05;2;2;N;N;4;2;;;N;;;;;;;4;07;;;;;;;3;361.9466
50;2019;3;01;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;43.3899
50;2019;3;01;9;1;2;10;1;3;N;N;4;1;1;2;N;;;;;;;1;02;1;02;4;2;1;40;1;42.6233
50;2019;3;01;9;6;2;09;1;2;N;S;4;1;1;5;N;;;;;;;1;02;2;09;4;1;1;10;2;47.5435
50;2019;3;01;9;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;45.6791
51;2019;3;01;2;1;2;15;1;3;N;N;2;2;;;N;;;;;;;4;07;2;09;4;1;;;1;132.8267
