Party,Year,Variables,Values,locality,division
CSV,2018,KONSBRUCK Claudine (7),15691,Centre,Electoral district
CSV,2018,DONNERSBACH Alex (5),14643,Centre,Electoral district
CSV,2018,MERGEN Martine (12),14577,Centre,Electoral district
CSV,2018,TERNES Fred (20),14264,Centre,Electoral district
CSV,2018,PUNDEL Nico (14),14101,Centre,Electoral district
CSV,2018,SAUBER François (17),13913,Centre,Electoral district
CSV,2018,REDING Vincent (15),13887,Centre,Electoral district
CSV,2018,BRAQUET Marion ép. ZOVILE (4),13817,Centre,Electoral district
CSV,2018,MASSARD-STITZ Simone (11),12955,Centre,Electoral district
CSV,2018,LUX-SCHARES Nadine (9),12630,Centre,Electoral district
CSV,2018,STEINMETZ Claude (19),12616,Centre,Electoral district
CSV,2018,Suffrages total,337687,Centre,Electoral district
CSV,2018,Suffrages de liste,210126,Centre,Electoral district
CSV,2018,Suffrages nominatifs,127561,Centre,Electoral district
CSV,2018,Nombre de mandats attribués,7,Centre,Electoral district
KPL,2018,Pourcentage,0.00728945109087222,Centre,Electoral district
KPL,2018,JACOBY Jean-Marie (1),940,Centre,Electoral district
KPL,2018,BESTGEN Carole (2),505,Centre,Electoral district
KPL,2018,CASANOVA Manuel (3),438,Centre,Electoral district
KPL,2018,RUCKERT-MEISER Gertrud (18),414,Centre,Electoral district
KPL,2018,CASTELLANO Manuela (4),403,Centre,Electoral district
KPL,2018,PISANI Giulio-Enrico (13),382,Centre,Electoral district
KPL,2018,NTABALA TSHIBUYI Léon (11),377,Centre,Electoral district
KPL,2018,HEMMER Nicolas (7),370,Centre,Electoral district
KPL,2018,GUERRERO Enrique (6),369,Centre,Electoral district
KPL,2018,WOLFF Roland (21),364,Centre,Electoral district
KPL,2018,MARTINS Alessandro (9),362,Centre,Electoral district
KPL,2018,RECKINGER Marie-Jeanne (15),360,Centre,Electoral district
KPL,2018,GOULLEVEN Romance (5),359,Centre,Electoral district
KPL,2018,OURTH Marco (12),358,Centre,Electoral district
KPL,2018,VIBI Sandra (20),354,Centre,Electoral district
KPL,2018,MATAGNE Serge (10),353,Centre,Electoral district
KPL,2018,SCHWEICH Nicole (19),353,Centre,Electoral district
KPL,2018,RAMAN Guido (14),352,Centre,Electoral district
KPL,2018,RECKINGER Sonja (16),350,Centre,Electoral district
KPL,2018,KIRCHESCH Patrick (8),345,Centre,Electoral district
KPL,2018,RICHER Steve (17),340,Centre,Electoral district
