NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
31;2021;1;48;1;1;1;06;1;3;S;N;4;4;1;2;S;4;1;S;07;69;S;1;02;3;04;4;2;1;40;3;309,20890
31;2021;1;48;1;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;214,26780
31;2021;1;48;1;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;233,46210
31;2021;1;48;1;6;1;11;1;1;N;N;3;1;;;N;;;;;;;4;04;9;08;4;2;;;1;256,21110
32;2021;1;01;9;6;1;09;1;3;S;N;4;1;;;N;;;;;;;4;04;4;10;4;1;;;4;14,10290
32;2021;1;01;9;6;1;10;1;2;N;S;4;1;1;2;N;;;;;;;1;02;5;09;4;1;1;35;1;12,72260
33;2021;1;20;9;6;1;18;1;1;N;N;2;1;;;N;;;;;;;4;04;9;02;4;2;;;3;124,98130
33;2021;1;20;9;1;1;18;1;1;N;N;2;1;;;N;;;;;;;4;04;7;02;2;;;;1;126,18380
34;2021;1;01;9;1;2;12;1;1;N;N;4;3;1;4;N;;;;;;;1;02;3;02;4;2;1;0;2;40,63560
34;2021;1;01;9;6;1;13;1;2;N;N;4;1;;;N;;;;;;;4;04;4;04;4;2;;;1;45,27420
35;2021;1;01;2;6;1;17;1;1;N;N;2;3;;;N;;;;;;;4;07;8;02;4;2;;;1;159,45710
36;2021;1;48;9;6;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;1;04;2;;;40;2;201,59530
36;2021;1;48;9;1;1;12;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;08;4;1;1;40;1;224,89750
36;2021;1;48;9;6;1;06;1;3;N;N;4;2;1;5;N;;;;;;;1;02;2;08;2;;;20;3;278,94920
36;2021;1;48;9;1;1;04;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;243,72000
36;2021;1;48;9;6;1;06;1;3;N;N;4;2;1;2;N;;;;;;;1;02;2;02;4;2;3;40;3;294,45190
37;2021;1;48;9;6;1;11;1;3;N;N;4;1;;;S;6;2;S;07;10;S;2;05;9;08;4;2;;;2;234,19970
37;2021;1;48;9;1;1;04;1;2;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;252,41390
37;2021;1;48;9;1;2;12;1;3;N;N;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;1;220,89060
37;2021;1;48;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;231,08890
38;2021;1;48;9;1;1;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;03;4;2;1;40;2;172,22430
38;2021;1;48;9;6;1;12;1;1;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;1;168,95230
38;2021;1;48;9;6;1;06;1;3;S;N;4;1;2;2;S;2;1;S;09;12;S;1;03;5;04;4;2;5;10;3;255,74430
39;2021;1;01;2;1;1;14;1;2;N;N;2;3;2;2;N;;;;;;;1;02;1;02;1;;;15;1;133,19760
39;2021;1;01;2;6;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;2;132,92930
40;2021;1;48;9;1;1;05;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;256,33280
40;2021;1;48;9;6;1;12;1;3;N;S;4;1;2;4;N;;;;;;;1;02;2;04;4;2;1;19;2;223,57470
40;2021;1;48;9;1;1;12;1;3;N;S;4;1;1;4;N;;;;;;;1;02;3;08;4;2;1;32;1;236,53620
40;2021;1;48;9;6;1;05;1;2;S;N;4;3;;;N;;;;;;;4;04;5;08;4;2;;;3;242,66800
41;2021;1;01;2;6;1;10;1;1;N;N;4;1;1;;N;;;;;;;1;02;5;04;4;2;1;0;1;136,62960
41;2021;1;01;2;1;1;05;1;3;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;123,04540
42;2021;1;48;1;6;1;13;1;3;N;N;4;1;;;N;;;;;;;4;04;2;09;4;1;;;2;229,93640
42;2021;1;48;1;1;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;1;04;4;2;;;1;262,72460
42;2021;1;48;1;1;1;07;1;3;S;N;4;1;;;N;;;;;;;4;04;2;02;4;2;;;3;261,75100
43;2021;1;01;2;1;1;12;1;3;N;N;4;1;1;2;N;;;;;;;1;01;2;03;2;;;55;2;145,26660
43;2021;1;01;2;6;2;12;1;3;N;S;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;40;1;154,33480
44;2021;1;20;3;6;3;13;2;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;4;239,85570
44;2021;1;20;3;6;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;1;167,55300
44;2021;1;20;3;1;1;08;1;2;N;N;4;1;1;2;N;;;;;;;1;02;3;09;2;;;40;3;129,16870
45;2021;1;20;9;6;1;12;1;3;N;N;4;1;1;4;N;;;;;;;1;02;2;10;4;1;1;14;3;159,27110
45;2021;1;20;9;6;2;18;1;1;N;N;2;4;;;N;;;;;;;4;07;9;02;4;2;;;1;224,76980
46;2021;1;20;9;6;1;14;1;1;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;2;113,47810
46;2021;1;20;9;1;1;15;1;1;N;N;2;4;;;N;;;;;;;4;07;7;02;4;2;;;1;114,56990
47;2021;1;20;9;6;1;06;1;3;N;N;4;2;1;2;N;;;;;;;1;02;2;02;4;2;1;40;3;197,83880
47;2021;1;20;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;169,69660
47;2021;1;20;9;1;1;11;1;3;N;N;4;1;1;2;N;;;;;;;1;01;1;02;4;2;1;60;1;166,08510
47;2021;1;20;9;1;1;04;1;2;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;170,76480
48;2021;1;20;9;1;1;09;1;1;N;N;4;1;1;2;N;;;;;;;1;02;3;04;4;2;1;40;1;161,09910
49;2021;1;48;9;6;1;09;1;3;N;N;4;1;1;3;N;;;;;;;1;02;2;08;4;2;1;30;1;212,78310
49;2021;1;48;9;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;194,20340
49;2021;1;48;9;6;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;211,60030
50;2021;1;01;2;6;1;04;1;2;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;177,04030
50;2021;1;01;2;1;2;10;1;2;N;N;4;1;1;3;N;;;;;;;1;02;7;02;4;2;1;0;1;156,57920
51;2021;1;20;9;6;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;02;4;2;1;39;1;157,13180
52;2021;1;48;9;6;1;18;1;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;1;184,02930
53;2021;1;48;9;6;2;18;1;1;N;N;4;4;;;N;;;;;;;4;07;6;01;5;;;;1;204,19830
54;2021;1;48;9;6;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;1;171,59810
55;2021;1;48;9;6;1;06;1;2;N;S;4;3;1;2;N;;;;;;;1;02;2;08;4;2;5;40;3;278,91180
55;2021;1;48;9;1;2;13;1;1;N;N;4;3;1;3;N;;;;;;;1;02;7;02;4;2;1;0;1;207,53450
55;2021;1;48;9;6;2;12;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;10;1;;;40;2;196,77840
56;2021;1;20;9;1;1;03;1;1;S;N;4;2;;;N;;;;;;;;;;;;;;;3;151,07210
56;2021;1;20;9;1;1;12;1;2;N;N;4;1;1;3;N;;;;;;;1;02;7;02;4;2;1;0;1;146,47830
56;2021;1;20;9;6;1;11;1;2;N;S;4;1;2;1;N;;;;;;;1;02;9;04;4;2;1;10;2;144,83550
57;2021;1;20;3;1;1;12;1;1;N;N;4;2;1;2;N;;;;;;;1;02;7;02;2;;;40;1;125,56980
57;2021;1;20;3;6;1;05;1;2;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;134,26510
57;2021;1;20;3;6;1;11;1;3;N;N;4;1;1;3;N;;;;;;;1;02;2;09;4;2;1;35;2;131,11980
57;2021;1;20;3;6;1;03;1;1;S;S;4;3;;;N;;;;;;;;;;;;;;;3;134,26510
58;2021;1;48;9;1;1;10;1;2;S;N;4;1;;;S;6;2;S;08;3;S;2;05;7;02;4;2;;;1;263,35140
59;2021;1;20;9;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;158,14510
59;2021;1;20;9;6;2;11;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;35;1;170,61750
59;2021;1;20;9;1;1;10;1;2;N;N;4;1;;;N;;;;;;;4;04;2;09;2;;;;2;176,69060
60;2021;1;20;3;6;3;05;1;2;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;137,31660
60;2021;1;20;3;6;3;04;1;2;S;N;4;1;;;N;;;;;;;4;04;;;;;;;3;137,31660
60;2021;1;20;3;6;3;09;2;3;N;N;4;1;;;S;6;2;S;01;1;S;2;05;5;09;4;2;;;1;159,86870
61;2021;1;20;3;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;131,30100
61;2021;1;20;3;1;1;10;1;1;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;131,26740
61;2021;1;20;3;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;131,30100
62;2021;1;01;9;1;1;06;1;2;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;51,85810
62;2021;1;01;9;1;1;05;1;3;S;N;4;2;2;2;N;;;;;;;1;02;3;04;4;2;3;20;3;59,32950
62;2021;1;01;9;1;1;13;1;1;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;1;62,35440
62;2021;1;01;9;6;1;13;1;2;N;N;4;1;1;3;N;;;;;;;1;02;5;09;4;2;1;0;2;37,49720
63;2021;1;20;9;6;1;13;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;08;4;2;1;40;2;153,44780
63;2021;1;20;9;6;1;06;1;3;S;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;37;3;194,54110
63;2021;1;20;9;1;1;13;1;2;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;1;163,63960
64;2021;1;48;1;6;1;18;1;1;N;N;4;4;;;N;;;;;;;4;07;;;;;;;1;172,62180
64;2021;1;48;1;1;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;3;04;4;2;;;3;173,48260
65;2021;1;01;9;1;1;13;1;2;N;N;2;1;;;N;;;;;;;4;04;9;08;4;2;;;1;76,57680
65;2021;1;01;9;6;1;12;1;2;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;2;51,21980
66;2021;1;01;2;1;1;06;1;2;S;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;3;280,43910
66;2021;1;01;2;6;3;11;1;2;N;N;4;1;;;S;6;2;S;07;99;N;4;04;5;04;5;;;;2;210,15780
66;2021;1;01;2;1;1;05;1;2;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;5;40;3;189,38510
66;2021;1;01;2;1;2;11;1;1;N;N;4;1;1;2;N;;;;;;;1;02;8;04;4;2;1;40;1;200,99150
67;2021;1;20;9;6;1;13;1;1;N;N;2;1;;;N;;;;;;;4;04;9;02;4;2;;;2;127,42790
67;2021;1;20;9;1;1;14;1;2;N;N;2;2;;;N;;;;;;;4;07;8;04;4;2;;;1;128,65390
68;2021;1;20;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;179,26650
68;2021;1;20;9;1;3;09;2;1;N;N;4;1;1;4;N;;;;;;;1;02;7;02;4;2;5;32;1;213,40620
68;2021;1;20;9;6;3;07;2;2;N;N;4;1;1;4;N;;;;;;;1;02;5;10;4;2;5;32;2;253,76660
68;2021;1;20;9;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;176,97540
69;2021;1;48;9;6;2;06;1;3;S;N;4;1;1;2;N;;;;;;;1;02;2;08;4;2;1;40;4;261,82550
69;2021;1;48;9;6;1;15;1;1;N;N;2;1;;;N;;;;;;;4;04;3;02;4;2;;;2;256,91280
69;2021;1;48;9;1;1;16;1;2;N;N;2;1;;;N;;;;;;;4;04;7;05;4;1;;;1;258,19400
70;2021;1;01;9;1;1;18;1;1;N;N;2;4;;;N;;;;;;;4;07;7;02;4;2;;;1;67,15460
71;2021;1;48;1;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;192,61830
71;2021;1;48;1;6;1;11;1;2;N;S;4;1;1;2;N;;;;;;;1;01;5;10;1;;;45;2;205,82160
71;2021;1;48;1;1;1;11;1;2;N;S;4;1;1;2;N;;;;;;;1;02;5;04;4;2;5;32;1;204,07640
72;2021;1;48;9;1;1;12;1;1;N;N;3;1;;;N;;;;;;;4;04;8;04;4;1;;;2;186,58480
72;2021;1;48;9;6;2;12;1;1;N;N;4;1;1;2;N;;;;;;;1;02;5;04;2;;;40;1;168,45460
73;2021;1;01;2;6;3;11;2;3;N;N;4;1;2;;S;1;2;S;07;12;S;1;02;5;04;4;2;1;0;1;198,09370
74;2021;1;20;3;6;1;13;1;3;N;N;4;1;2;3;N;;;;;;;1;02;2;09;4;1;5;0;1;136,25170
74;2021;1;20;3;1;1;13;1;1;N;N;4;1;1;2;N;;;;;;;1;02;3;04;4;2;1;40;2;138,22990
74;2021;1;20;3;1;1;06;1;2;N;N;4;2;1;2;N;;;;;;;1;02;8;02;4;2;1;40;3;167,82100
75;2021;1;01;2;6;1;14;1;3;N;N;2;1;;;N;;;;;;;4;04;2;09;4;1;;;1;159,42250
76;2021;1;48;9;1;1;14;1;2;N;N;2;1;;;N;;;;;;;4;04;3;04;4;1;;;2;283,60600
76;2021;1;48;9;6;2;15;1;2;N;N;2;1;;;N;;;;;;;4;04;9;04;4;2;;;1;282,19870
76;2021;1;48;9;6;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;35;4;232,17660
76;2021;1;48;9;1;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;4;212,98010
76;2021;1;48;9;1;1;08;1;3;S;N;4;1;;;N;;;;;;;4;04;2;02;4;2;;;3;267,09900
77;2021;1;20;9;1;1;14;1;1;N;N;2;1;;;N;;;;;;;4;04;8;02;4;2;;;1;135,97050
78;2021;1;20;9;1;1;13;1;2;N;N;4;1;2;5;N;;;;;;;1;02;7;04;4;2;5;0;1;123,11130
79;2021;1;48;9;1;1;18;1;1;N;N;2;4;;;N;;;;;;;4;07;9;02;4;2;;;1;156,71370
80;2021;1;01;9;6;1;16;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;62,48650
81;2021;1;48;9;1;1;04;1;1;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;216,90790
81;2021;1;48;9;1;1;12;1;3;N;N;4;1;1;4;N;;;;;;;1;02;2;09;4;2;1;32;1;200,15610
81;2021;1;48;9;6;1;11;1;3;N;N;4;1;1;4;N;;;;;;;1;02;2;08;2;;;32;2;212,19470
81;2021;1;48;9;6;1;05;1;2;N;N;4;2;;;N;;;;;;;4;07;9;04;4;2;;;3;205,34480
81;2021;1;48;9;1;1;05;1;2;S;N;4;2;1;4;N;;;;;;;1;02;3;07;4;2;5;32;3;301,23380
82;2021;1;48;9;1;3;08;1;2;N;N;4;1;1;;N;;;;;;;1;02;5;04;4;2;1;0;2;245,85580
82;2021;1;48;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;204,15480
82;2021;1;48;9;6;3;08;1;2;N;N;4;1;2;2;S;3;2;S;04;24;S;1;02;9;10;4;2;1;20;1;223,68660
83;2021;1;20;9;1;1;18;1;1;N;N;2;4;;;N;;;;;;;4;07;9;02;3;;;;1;237,08950
83;2021;1;20;9;1;1;10;1;3;N;N;4;1;1;4;N;;;;;;;1;02;6;08;4;2;1;0;3;181,82550
83;2021;1;20;9;6;1;17;1;1;N;N;4;1;;;N;;;;;;;4;04;8;02;4;2;;;2;234,83020
