NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
36;2019;2;48;9;1;2;13;1;1;N;N;4;1;;;N;;;;;;;4;04;2;01;5;;;;1;109.4142
36;2019;2;48;9;6;1;12;1;1;N;N;4;1;;;N;;;;;;;4;04;9;02;4;2;;;2;105.3912
37;2019;2;48;1;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;219.0342
37;2019;2;48;1;1;1;06;1;3;N;N;4;1;;;S;6;2;S;07;16;N;4;04;9;04;4;2;;;2;317.6362
37;2019;2;48;1;6;2;10;1;2;N;N;4;1;2;2;N;;;;;;;1;02;5;04;4;2;5;28;1;201.2315
37;2019;2;48;1;1;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;219.6294
38;2019;2;20;3;6;3;12;2;1;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;2;198.5337
38;2019;2;20;3;1;1;07;1;2;S;N;4;1;;;N;;;;;;;4;04;3;05;4;2;;;3;205.9942
38;2019;2;20;3;1;2;14;1;1;N;N;2;1;;;N;;;;;;;4;04;9;03;4;2;;;1;164.4363
39;2019;2;20;9;6;1;01;1;;S;;;;;;;;;;;;;;;;;;;;;3;146.3343
39;2019;2;20;9;6;1;09;1;2;N;N;3;1;;;N;;;;;;;4;04;5;09;4;2;;;1;201.6813
40;2019;2;48;1;6;1;17;1;1;N;N;4;2;;;N;;;;;;;4;07;;;;;;;1;187.1553
41;2019;2;48;1;1;1;09;1;3;N;S;4;1;1;2;N;;;;;;;1;02;4;05;4;2;1;40;1;215.2289
42;2019;2;01;9;6;1;14;1;1;N;N;2;1;;;N;;;;;;;4;04;9;10;4;2;;;1;61.4367
43;2019;2;20;3;6;1;13;1;2;N;N;4;1;1;2;N;;;;;;;1;02;4;09;4;1;1;40;2;105.7309
43;2019;2;20;3;1;2;13;1;2;N;N;2;2;;;N;;;;;;;4;07;9;04;4;1;;;1;137.1463
44;2019;2;48;1;6;1;09;1;2;N;N;4;1;;;S;6;1;S;08;4;S;2;05;4;04;4;1;;;2;241.654
44;2019;2;48;1;1;1;10;1;3;N;N;4;1;2;2;N;;;;;;;1;02;2;09;4;2;5;30;1;181.6575
44;2019;2;48;1;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;197.9883
45;2019;2;48;9;1;1;13;1;1;N;N;4;1;1;2;N;;;;;;;1;01;5;04;4;2;1;50;1;226.3745
46;2019;2;48;1;6;2;16;1;2;N;N;2;1;;;N;;;;;;;4;04;5;04;2;;;;2;154.1892
46;2019;2;48;1;1;2;17;1;2;N;N;2;1;;;N;;;;;;;4;04;1;04;1;;;;1;148.0357
47;2019;2;01;9;1;1;13;1;1;N;N;4;4;2;2;N;;;;;;;1;03;3;03;4;2;5;12;2;97.1362
47;2019;2;01;9;6;2;13;1;2;N;N;4;1;;;N;;;;;;;4;04;8;02;4;2;;;1;88.6894
48;2019;2;20;9;1;1;10;1;1;N;N;4;2;1;2;N;;;;;;;1;02;8;02;4;2;1;40;2;137.9962
48;2019;2;20;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;130.4518
48;2019;2;20;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;130.4518
48;2019;2;20;9;6;1;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;9;02;4;2;5;40;1;137.4409
49;2019;2;20;9;6;2;14;1;1;N;N;2;1;;;N;;;;;;;4;04;1;04;2;;;;3;121.1401
49;2019;2;20;9;1;1;15;1;1;N;N;2;2;;;N;;;;;;;4;07;8;04;2;;;;1;116.0981
50;2019;2;01;2;6;2;14;1;1;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;1;151.7661
51;2019;2;20;3;1;2;12;1;1;N;N;4;1;1;4;N;;;;;;;1;02;5;04;4;2;1;24;2;114.2397
51;2019;2;20;3;6;2;12;1;1;N;N;4;1;1;4;N;;;;;;;1;02;5;04;4;2;1;32;1;110.1041
52;2019;2;01;2;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;164.8726
52;2019;2;01;2;6;1;02;1;;S;;;;;;;;;;;;;;;;;;;;;3;164.8726
52;2019;2;01;2;6;1;09;1;2;N;S;4;1;1;3;N;;;;;;;1;02;2;09;4;1;5;23;1;145.1492
53;2019;2;01;2;6;1;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;9;02;4;2;1;40;2;150.1756
53;2019;2;01;2;1;1;08;1;2;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;1;194.7342
53;2019;2;01;2;6;1;01;1;;N;;;;;;;;;;;;;;;;;;;;;3;165.4302
54;2019;2;01;2;6;1;16;1;2;N;N;2;1;;;N;;;;;;;4;04;5;09;4;1;;;1;147.2012
55;2019;2;20;3;6;1;13;1;1;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;3;119.9334
55;2019;2;20;3;6;1;18;1;1;N;N;4;4;;;N;;;;;;;4;07;9;10;4;2;;;1;173.8974
56;2019;2;48;1;6;1;16;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;237.4723
56;2019;2;48;1;1;1;12;1;2;N;N;3;2;;;N;;;;;;;4;07;4;04;4;2;;;3;183.1102
57;2019;2;48;9;6;1;11;1;1;N;N;4;1;2;2;N;;;;;;;1;03;9;08;4;2;1;5;1;209.5086
57;2019;2;48;9;6;1;04;1;1;N;N;4;1;;;N;;;;;;;4;04;;;;;;;3;229.9306
58;2019;2;01;2;1;3;13;1;3;N;N;2;1;;;N;;;;;;;4;04;3;03;4;2;;;1;173.5074
58;2019;2;01;2;6;1;10;1;2;N;N;4;2;1;2;N;;;;;;;1;02;2;08;2;;;40;2;171.3966
58;2019;2;01;2;6;1;04;1;2;S;N;4;4;;;N;;;;;;;4;04;;;;;;;3;169.393
59;2019;2;48;9;6;2;18;1;1;N;N;2;4;;;N;;;;;;;4;07;9;08;4;2;;;1;187.0933
60;2019;2;01;2;6;1;09;1;3;N;N;4;1;1;2;S;4;1;S;07;5;S;1;02;5;04;4;2;1;40;1;183.5019
61;2019;2;20;9;1;1;13;1;1;N;N;4;1;2;3;N;;;;;;;1;02;7;03;4;2;5;0;1;123.1171
61;2019;2;20;9;6;1;13;1;1;N;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;2;151.6635
61;2019;2;20;9;6;1;07;1;3;N;N;4;2;;;S;6;1;S;07;9;S;2;06;5;04;4;2;;;3;185.4431
62;2019;2;48;1;6;1;04;1;2;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;258.1675
62;2019;2;48;1;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;238.7529
62;2019;2;48;1;1;1;11;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;08;2;;;44;1;258.2539
62;2019;2;48;1;6;1;11;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;2;1;38;2;235.2375
63;2019;2;01;9;6;2;08;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;37;1;15.8379
64;2019;2;48;9;6;1;15;1;1;N;N;4;1;;;N;;;;;;;4;04;3;04;4;2;;;2;164.7237
64;2019;2;48;9;1;1;15;1;3;N;N;2;2;;;N;;;;;;;4;07;2;02;4;2;;;1;158.1498
65;2019;2;20;3;1;1;09;1;1;S;N;4;1;1;2;N;;;;;;;1;02;7;04;2;;;40;1;151.2551
65;2019;2;20;3;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;143.5791
65;2019;2;20;3;6;1;09;1;3;N;N;4;1;1;3;N;;;;;;;1;02;2;05;4;2;1;25;2;164.9
65;2019;2;20;3;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;143.5791
66;2019;2;48;9;1;1;16;1;3;N;N;2;4;;;N;;;;;;;4;07;2;09;4;1;;;1;168.391
67;2019;2;48;9;6;1;09;1;3;N;N;4;1;2;2;S;2;1;S;01;2;S;1;02;4;09;4;1;5;25;1;101.9381
67;2019;2;48;9;6;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;97.5951
67;2019;2;48;9;1;1;03;1;;S;;;;;;;;;;;;;;;;;;;;;3;97.8603
68;2019;2;01;9;1;2;11;1;2;N;N;3;1;;;N;;;;;;;4;04;5;09;4;1;;;1;25.9607
68;2019;2;01;9;6;2;11;1;2;N;N;4;1;1;2;N;;;;;;;1;02;4;09;4;1;1;37;2;26.5344
69;2019;2;48;9;1;1;12;1;2;N;N;4;2;1;2;N;;;;;;;1;02;1;02;4;2;1;40;1;168.408
69;2019;2;48;9;6;1;12;1;2;N;N;4;1;;;N;;;;;;;4;04;4;02;4;2;;;2;179.0434
70;2019;2;20;3;6;2;07;1;3;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;30;1;167.8486
71;2019;2;48;9;6;1;12;1;2;N;N;3;1;;;N;;;;;;;4;04;9;08;4;2;;;2;228.6201
